degree|city|sports
17|Unknown|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
18|Montréal|Tennis
18|Unknown|Tennis
18|Unknown|Tennis
19|Unknown|Tennis
19|Montréal|Tennis
19|Unknown|Tennis
19|Montréal|Tennis
19|Unknown|Pickleball+Tennis
20|Unknown|Tennis
20|Unknown|Tennis
20|Unknown|Tennis
20|Unknown|Tennis
20|Unknown|Pickleball+Tennis
21|Montréal|Tennis
21|Unknown|Tennis
21|Unknown|Tennis
22|Unknown|Tennis
22|Unknown|Tennis
22|Unknown|Tennis
22|Unknown|Tennis
23|Unknown|Tennis
23|Brossard|Tennis
24|Montréal|Tennis
24|Montréal|Tennis
24|Unknown|Tennis
24|Unknown|Tennis
24|Unknown|Tennis
24|Unknown|Pickleball+Tennis
24|Laval|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
25|Unknown|Tennis
26|Montréal|Tennis
26|Montréal|Pickleball+Tennis
26|Unknown|Tennis
26|Unknown|Tennis
26|Montréal|Pickleball+Tennis
26|Unknown|Tennis
26|Unknown|Tennis
26|Unknown|Tennis
26|Montréal|Tennis
27|Unknown|Tennis
28|Unknown|Tennis
28|Unknown|Tennis
28|Unknown|Tennis
28|Montreal|Tennis
28|Unknown|Tennis
28|Unknown|Tennis
28|Unknown|Tennis
29|Unknown|Tennis
29|Unknown|Tennis
29|Montréal|Tennis
29|Montréal|Tennis
30|Unknown|Tennis
30|Unknown|Tennis
30|Unknown|Tennis
30|Unknown|Tennis
30|Unknown|Tennis
30|Unknown|Tennis
31|Unknown|Pickleball+Tennis
31|Unknown|Tennis
31|Unknown|Tennis
31|Unknown|Tennis
31|Montréal|Tennis
32|Unknown|Tennis
32|Unknown|Tennis
32|Unknown|Tennis
32|Unknown|Tennis
32|Unknown|Tennis
32|Montréal|Tennis
33|Unknown|Pickleball+Tennis
34|Unknown|Tennis
35|Unknown|Pickleball+Tennis
35|Unknown|Tennis
35|Unknown|Tennis
36|Unknown|Tennis
36|Unknown|Tennis
37|Unknown|Tennis
37|Unknown|Tennis
38|Unknown|Tennis
39|Unknown|Tennis
40|Unknown|Tennis
44|Unknown|Tennis
57|Unknown|Tennis
